nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
2	0	0	1	0	521	532	0	0	38	6
3	0	0	1	0	511	529	0	212	38	6
4	0	0	1	0	512	516	0	206	39	6
5	0	0	1	0	509	510	0	563	39	6
6	0	0	1	0	514	532	0	471	38	6
7	0	0	1	0	510	521	0	307	39	6
8	0	0	1	0	523	549	0	269	39	6
9	0	0	1	0	511	548	0	381	39	6
10	0	0	1	0	511	543	0	187	38	6
11	0	0	1	0	510	537	0	420	38	6
12	0	0	1	0	513	513	0	441	39	6
13	0	0	1	0	512	519	0	309	39	6
14	0	0	1	0	519	481	0	204	38	6
15	0	0	1	0	516	459	0	386	39	6
0	0	0	1	0	512	517	0	486	39	6
1	0	0	1	0	505	471	0	175	39	6
2	0	0	1	0	513	472	0	203	38	6
3	0	0	1	0	507	491	0	357	39	6
4	0	0	1	0	510	510	0	476	39	6
5	0	0	1	0	521	491	0	252	39	6
6	0	0	1	0	517	486	0	265	38	6
7	0	0	1	0	509	517	0	281	39	6
8	0	0	1	0	511	506	0	456	39	6
9	0	0	1	0	511	485	0	326	39	6
10	0	0	1	0	512	526	0	412	38	6
11	0	0	1	0	509	500	0	220	38	6
12	0	0	1	0	518	510	0	282	39	6
13	0	0	1	0	512	500	0	403	39	6
14	0	0	1	0	510	505	0	419	38	6
15	0	0	1	0	517	503	0	361	39	6
0	0	0	1	0	511	505	0	451	39	6
1	0	0	1	0	511	526	0	199	39	6
2	0	0	1	0	509	542	0	224	38	6
3	0	0	1	0	510	513	0	249	39	6
4	0	0	1	0	521	521	0	296	39	6
5	0	0	1	0	511	536	0	219	39	6
6	0	0	1	0	517	527	0	299	38	6
7	0	0	1	0	506	496	0	166	39	6
8	0	0	1	0	512	503	0	186	39	6
9	0	0	1	0	512	537	0	241	39	6
10	0	0	1	0	519	535	0	435	38	6
11	0	0	1	0	506	511	0	182	39	6
12	0	0	1	0	519	540	0	352	39	6
13	0	0	1	0	515	519	0	0	39	6
14	0	0	1	0	509	547	0	361	38	6
15	0	0	1	0	513	532	0	0	39	6
0	0	0	1	0	515	493	0	430	39	6
1	0	0	1	0	508	541	0	0	39	6
2	0	0	1	0	517	542	0	252	38	6
3	0	0	1	0	515	527	0	292	39	6
4	0	0	1	0	515	506	0	340	39	6
5	0	0	1	0	511	515	0	0	39	6
6	0	0	1	0	509	509	0	104	38	6
7	0	0	1	0	514	513	0	0	39	6
8	0	0	1	0	509	565	0	120	39	6
9	0	0	1	0	508	610	0	215	38	6
10	0	0	1	0	511	527	0	384	38	6
11	0	0	1	0	519	440	0	242	39	6
12	0	0	1	0	524	481	0	271	39	6
13	0	0	1	0	511	504	0	285	39	6
14	0	0	1	0	512	505	0	413	38	6
