nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
0	0	0	1	0	517	532	0	512	38	0
1	0	0	1	0	514	482	0	510	38	0
2	0	0	1	0	516	486	0	514	38	0
3	0	0	1	0	517	459	0	519	38	0
4	0	0	1	0	521	472	0	518	38	0
5	0	0	1	0	516	454	0	512	38	0
6	0	0	1	0	518	467	0	508	38	0
7	0	0	1	0	516	482	0	516	38	0
8	0	0	1	0	513	470	0	516	38	0
9	0	0	1	0	519	461	0	513	38	0
10	0	0	1	0	519	462	0	507	38	0
11	0	0	1	0	509	482	0	515	38	0
12	0	0	1	0	515	480	0	508	38	0
13	0	0	1	0	513	492	0	515	38	0
14	0	0	1	0	517	501	0	526	38	0
15	0	0	1	0	513	503	0	514	38	0
0	0	0	1	0	516	520	0	514	38	0
1	0	0	1	0	515	490	0	513	38	0
2	0	0	1	0	524	547	0	503	38	0
3	0	0	1	0	515	505	0	509	38	0
4	0	0	1	0	512	550	0	507	38	0
5	0	0	1	0	520	492	0	510	38	0
6	0	0	1	0	515	530	0	515	38	0
7	0	0	1	0	514	526	0	512	38	0
8	0	0	1	0	513	570	0	511	38	0
9	0	0	1	0	514	513	0	507	38	0
10	0	0	1	0	517	540	0	516	38	0
11	0	0	1	0	520	512	0	515	38	0
12	0	0	1	0	516	547	0	506	38	0
13	0	0	1	0	513	565	0	516	38	0
14	0	0	1	0	518	518	0	519	38	0
15	0	0	1	0	513	548	0	512	38	0
0	0	0	1	0	518	505	0	519	38	0
1	0	0	1	0	524	517	0	515	38	0
2	0	0	1	0	513	524	0	521	38	0
3	0	0	1	0	511	513	0	516	38	0
4	0	0	1	0	517	524	0	518	38	0
5	0	0	1	0	509	521	0	514	38	0
6	0	0	1	0	513	515	0	519	38	0
7	0	0	1	0	515	460	0	510	38	0
8	0	0	1	0	513	529	0	511	38	0
9	0	0	1	0	517	726	0	515	38	0
10	0	0	1	0	521	843	0	523	38	0
11	0	0	1	0	519	608	0	516	38	0
12	0	0	1	0	521	391	0	512	38	0
13	0	0	1	0	521	433	0	513	38	0
14	0	0	1	0	515	496	0	508	38	0
15	0	0	1	0	511	504	0	506	38	0
0	0	0	1	0	516	491	0	519	38	0
1	0	0	1	0	520	490	0	514	38	0
2	0	0	1	0	518	524	0	519	38	0
3	0	0	1	0	513	504	0	515	38	0
4	0	0	1	0	519	506	0	510	38	0
5	0	0	1	0	517	518	0	513	38	0
6	0	0	1	0	511	518	0	512	38	0
7	0	0	1	0	509	542	0	514	38	0
8	0	0	1	0	519	536	0	518	38	0
9	0	0	1	0	523	540	0	515	38	0
10	0	0	1	0	512	541	0	510	38	0
11	0	0	1	0	518	560	0	509	38	0
12	0	0	1	0	516	559	0	515	38	0
13	0	0	1	0	528	580	0	519	38	0
14	0	0	1	0	516	580	0	511	38	0
15	0	0	1	0	512	602	0	511	38	0
